cif_id,sysname,model,n_atoms,E_model_on_RDFT_eV,E_DFT_eV,energy_abs_err_meV_per_atom,force_mae_mag_eVA,force_rmse_mag_eVA,force_cos_alignment,force_mae_percomp_eVA
P_P141N1_801ae4a4-5b4a-4480-bf01-dbe9c0f9df3b,BP_spin_500_P141N1_801ae4a4-5b4a-4480-bf01-dbe9c0f9df3b_DFTfinal,DPA3-OMAT,142,-760.205729087545,-760.42628661,1.5532219891197905,0.02162931758834298,0.02621368653659897,0.044824364959773426,0.010658602229577463
P_P141N1_aad91e07-a830-46a9-b029-f4631bbc21aa,BP_spin_500_P141N1_aad91e07-a830-46a9-b029-f4631bbc21aa_DFTfinal,DPA3-OMAT,142,-760.310766527159,-760.53672486,1.5912558650778867,0.02058278916436473,0.023868563451105346,0.026239808482082887,0.010018343843661973
P_P141N1_e061f29c-4ea8-4686-b353-b7a55664072b,BP_spin_500_P141N1_e061f29c-4ea8-4686-b353-b7a55664072b_DFTfinal,DPA3-OMAT,142,-760.606036008997,-761.35969827,5.307480711288738,0.022294322522304046,0.03182896341535284,0.1274414945484646,0.010869358738497653
P_P141N2_1129b1b9-35c9-487c-8451-3ba62e8a4a28,BP_spin_500_P141N2_1129b1b9-35c9-487c-8451-3ba62e8a4a28_DFTfinal,DPA3-OMAT,143,-769.268217318794,-769.6769249,2.8580949734688446,0.018003488625602415,0.02141531324518752,0.11271648598442674,0.009135206642657342
P_P141N2_55cbbf86-9018-4610-8abd-8dc6ba7cfb25,BP_spin_500_P141N2_55cbbf86-9018-4610-8abd-8dc6ba7cfb25_DFTfinal,DPA3-OMAT,143,-769.079677206566,-769.51321208,3.031712401636653,0.019074774217258426,0.026016072530186368,0.025008092993153663,0.00952797288041958
P_P141N2_bbde927d-2e5a-42ea-894b-640c5eb8fe1d,BP_spin_500_P141N2_bbde927d-2e5a-42ea-894b-640c5eb8fe1d_DFTfinal,DPA3-OMAT,143,-769.291117769768,-769.60276026,2.179318113510315,0.020397058956285713,0.02685729864522412,0.13464245643988157,0.01023128462820513
P_P141N3_0cb3f035-4edc-490f-8308-24a5eea2a82f,BP_spin_500_P141N3_0cb3f035-4edc-490f-8308-24a5eea2a82f_DFTfinal,DPA3-OMAT,144,-778.252346728472,-778.78436344,3.6945604967218375,0.015833324098924198,0.017844079090965442,0.10931087944786633,0.0076584746343518525
P_P141N3_36cf2937-a12b-44cc-8666-c2b40897a308,BP_spin_500_P141N3_36cf2937-a12b-44cc-8666-c2b40897a308_DFTfinal,DPA3-OMAT,144,-778.280805495111,-778.83072427,3.8188803811733703,0.015912039769082238,0.017601352650093903,0.1875191272676532,0.007942822815277776
P_P141N3_9d5b58ce-71cd-4d2d-94e6-30695815819b,BP_spin_500_P141N3_9d5b58ce-71cd-4d2d-94e6-30695815819b_DFTfinal,DPA3-OMAT,144,-778.28411437246,-778.83068379,3.79562095513898,0.015495440221668124,0.01815488120625636,0.16075113752902154,0.007708128093287037
P_P141_00cb58bb-9519-47f8-ae57-cfbf5af07806,BP_spin_500_P141_00cb58bb-9519-47f8-ae57-cfbf5af07806_DFTfinal,DPA3-OMAT,141,-751.665485790288,-752.24281399,4.094526239091691,0.02564222279980288,0.03356751385694068,-0.005834330892899857,0.012713894810165485
P,P,DPA3-OMAT,144,-771.696067786417,-772.08036334,2.668719122104177,0.011373737748758515,0.011373738119639314,0.011393619896353565,0.005344470055285972
