cif_id,sysname,model,n_atoms,E_model_on_RDFT_eV,E_DFT_eV,energy_abs_err_meV_per_atom,force_mae_mag_eVA,force_rmse_mag_eVA,force_cos_alignment,force_mae_percomp_eVA
P_P137N4_06c3f239-33bb-44df-8e03-5bd0614c77df,BP_spin_500_P137N4_06c3f239-33bb-44df-8e03-5bd0614c77df_DFTfinal,MACE-OMAT,141,-760.377968910706,-760.44040929,0.44283956946101366,0.024807770791776908,0.04751622359265059,0.07359368570727283,0.012345920142600475
P_P137N4_45d7c27d-f7cb-443f-93fd-622d98716a8c,BP_spin_500_P137N4_45d7c27d-f7cb-443f-93fd-622d98716a8c_DFTfinal,MACE-OMAT,141,-760.121760370371,-760.18464751,0.44600808247496193,0.028390766595154538,0.04524601013077297,-0.00343259360243403,0.014360150614420801
P_P137N4_605910e6-9b1a-48a5-9eea-ecc820799a67,BP_spin_500_P137N4_605910e6-9b1a-48a5-9eea-ecc820799a67_DFTfinal,MACE-OMAT,141,-760.387568086004,-760.27846914,0.7737513900992652,0.016112784238438208,0.019252274278511054,0.22195592810107417,0.008041166834846335
P_P137N4_eb6b3e67-dea4-41f9-b13e-79dfa9f5300a,BP_spin_500_P137N4_eb6b3e67-dea4-41f9-b13e-79dfa9f5300a_DFTfinal,MACE-OMAT,141,-760.12362135329,-760.07300376,0.3589900233332273,0.025532445480079487,0.04097128707180494,0.1828737337299313,0.012750080238699764
P_P137N5_0358e850-b83f-49ba-84d0-83a60cfc53c0,BP_spin_500_P137N5_0358e850-b83f-49ba-84d0-83a60cfc53c0_DFTfinal,MACE-OMAT,142,-768.986624660678,-769.56217796,4.053192248746449,0.017507817492970486,0.024461406671863927,0.07700345891859775,0.008631423081690142
P_P137N6_539a3b77-1177-49f8-920e-888a9e3efee1,BP_spin_500_P137N6_539a3b77-1177-49f8-920e-888a9e3efee1_DFTfinal,MACE-OMAT,143,-778.18024941147,-778.75193484,3.9978001995107095,0.013459684210804209,0.016185454287977175,0.12803993051192494,0.0067271151291375285
P_P141N1_801ae4a4-5b4a-4480-bf01-dbe9c0f9df3b,BP_spin_500_P141N1_801ae4a4-5b4a-4480-bf01-dbe9c0f9df3b_DFTfinal,MACE-OMAT,142,-760.491658366115,-760.42628661,0.4603644796825905,0.012402047375765389,0.01449518043722675,0.14436595262643367,0.006269119463051643
P_P141N1_aad91e07-a830-46a9-b029-f4631bbc21aa,BP_spin_500_P141N1_aad91e07-a830-46a9-b029-f4631bbc21aa_DFTfinal,MACE-OMAT,142,-760.595352429032,-760.53672486,0.4128702044503896,0.01073179688614042,0.011942588392337418,0.1051348146409655,0.005358213707511737
P_P141N1_e061f29c-4ea8-4686-b353-b7a55664072b,BP_spin_500_P141N1_e061f29c-4ea8-4686-b353-b7a55664072b_DFTfinal,MACE-OMAT,142,-760.864289544029,-761.35969827,3.4887938448658224,0.014021912260717893,0.017899679067694643,0.19134015084636982,0.00689885844443662
P_P141N2_1129b1b9-35c9-487c-8451-3ba62e8a4a28,BP_spin_500_P141N2_1129b1b9-35c9-487c-8451-3ba62e8a4a28_DFTfinal,MACE-OMAT,143,-769.34558343962,-769.6769249,2.317073149510707,0.010016834019998904,0.011246896064706614,0.20080899113476852,0.0049028809191608395
P_P141N2_55cbbf86-9018-4610-8abd-8dc6ba7cfb25,BP_spin_500_P141N2_55cbbf86-9018-4610-8abd-8dc6ba7cfb25_DFTfinal,MACE-OMAT,143,-769.191720682211,-769.51321208,2.248191592930293,0.013624392472725996,0.01902886183327962,0.03796432232523848,0.0067856654618181815
P_P141N2_bbde927d-2e5a-42ea-894b-640c5eb8fe1d,BP_spin_500_P141N2_bbde927d-2e5a-42ea-894b-640c5eb8fe1d_DFTfinal,MACE-OMAT,143,-769.276443721153,-769.60276026,2.28193383809078,0.010772198378683524,0.012193937414008892,0.2254284906950695,0.005424858605361306
P_P141N3_0cb3f035-4edc-490f-8308-24a5eea2a82f,BP_spin_500_P141N3_0cb3f035-4edc-490f-8308-24a5eea2a82f_DFTfinal,MACE-OMAT,144,-778.121237529227,-778.78436344,4.605041047034951,0.009863862736916649,0.010693100475193677,0.21943460868804462,0.004795573599629629
P_P141N3_36cf2937-a12b-44cc-8666-c2b40897a308,BP_spin_500_P141N3_36cf2937-a12b-44cc-8666-c2b40897a308_DFTfinal,MACE-OMAT,144,-778.159815470704,-778.83072427,4.6590888840004006,0.009868894260134528,0.010852386317911475,0.23862338908365255,0.004861520163888889
P_P141N3_9d5b58ce-71cd-4d2d-94e6-30695815819b,BP_spin_500_P141N3_9d5b58ce-71cd-4d2d-94e6-30695815819b_DFTfinal,MACE-OMAT,144,-778.155443433547,-778.83068379,4.689169142034347,0.009865198474313937,0.010724186053587596,0.22729792427065243,0.004776158968055556
P_P141_00cb58bb-9519-47f8-ae57-cfbf5af07806,BP_spin_500_P141_00cb58bb-9519-47f8-ae57-cfbf5af07806_DFTfinal,MACE-OMAT,141,-752.09919773932,-752.24281399,1.0185549693616835,0.014026852376011083,0.017251442367330644,0.038586795838348495,0.007084112670283688
P,BP_spin_500_P_ref,MACE-OMAT,144,-771.663433241815,-772.08036334,2.8953479040620462,0.008993224522510036,0.008993224524648602,0.4274789686819189,0.004236298579704186
