model,cif_id,system,formula,is_pristine,natoms_model,natoms_dft,E_init_model_eV,E_final_model_eV,E_init_model_per_atom_eV,E_final_model_per_atom_eV,dE_model_eV,dE_model_per_atom_eV,E_init_dft_eV,E_final_dft_eV,E_init_dft_per_atom_eV,E_final_dft_per_atom_eV,dE_dft_eV,dE_dft_per_atom_eV,dE_dft_scaled_to_model_eV,dE_model_scaled_to_dft_eV,ratio_dft_to_model,dft_source,notes,pristine_ratio_dft_to_model
DPA3,P_P130N6_ad4e8262-bfb5-49be-8679-a28ee4287eef,P,P130N6,False,136,136,-711.541791046772,-735.573048124824,-5.231924934167441,-5.408625353859001,-24.031257078052022,-0.17670041969155897,-711.97562402,-736.36033888,-5.2351148825000005,-5.414414256470588,-24.384714859999917,-0.17929937397058762,-24.384714859999917,-24.031257078052022,1.0,vasprun:ionic,model=DPA3;dft-match:P_P130N6_ad4e8262-bfb5-49be-8679-a28ee4287eef_unrelaxed/vasprun.xml;dump-match:BP_spin_500_P130N6_ad4e8262-bfb5-49be-8679-a28ee4287eef_unrelaxed,
DPA3,P_P130N6_ee74078f-bc7a-4330-a46a-c9964d4dabd2,P,P130N6,False,136,136,-712.156609738979,-735.820242012653,-5.236445659845434,-5.41044295597539,-23.66363227367401,-0.17399729612995596,-712.1179139,-734.67550145,-5.236161131617647,-5.402025745955882,-22.557587549999994,-0.16586461433823524,-22.557587549999994,-23.66363227367401,1.0,vasprun:ionic,model=DPA3;dft-match:P_P130N6_ee74078f-bc7a-4330-a46a-c9964d4dabd2_unrelaxed/vasprun.xml;dump-match:BP_spin_500_P130N6_ee74078f-bc7a-4330-a46a-c9964d4dabd2_unrelaxed,
DPA3,P_P130N7_2dd91df6-6100-4305-adb3-79179704cffe,P,P130N7,False,137,137,-719.185598246608,-742.892302684341,-5.249529914208818,-5.422571552440445,-23.706704437732924,-0.1730416382316272,-719.45479208,-741.8432598,-5.25149483270073,-5.414914305109489,-22.388467720000108,-0.16341947240875992,-22.38846772000011,-23.706704437732924,1.0,vasprun:ionic,model=DPA3;dft-match:P_P130N7_2dd91df6-6100-4305-adb3-79179704cffe_unrelaxed/vasprun.xml;dump-match:BP_spin_500_P130N7_2dd91df6-6100-4305-adb3-79179704cffe_unrelaxed,
DPA3,P_P130N7_e236b37e-ec6c-4beb-a178-c706965a3988,P,P130N7,False,137,137,-718.150335065876,-741.885772861396,-5.241973248656029,-5.415224619426248,-23.735437795520056,-0.17325137077021938,-718.32593285,-740.29589264,-5.243254984306569,-5.40361965430657,-21.969959790000075,-0.16036467000000054,-21.969959790000075,-23.735437795520056,1.0,vasprun:ionic,model=DPA3;dft-match:P_P130N7_e236b37e-ec6c-4beb-a178-c706965a3988_unrelaxed/vasprun.xml;dump-match:BP_spin_500_P130N7_e236b37e-ec6c-4beb-a178-c706965a3988_unrelaxed,
DPA3,P_P130N8_4da67312-af60-4b2d-adf5-10c7bd23799c,P,P130N8,False,138,138,-724.895336647426,-748.638431747352,-5.252864758314681,-5.424916172082261,-23.743095099925995,-0.17205141376757968,-724.73073633,-748.88124815,-5.251672002391304,-5.426675711231884,-24.15051182000002,-0.17500370884057986,-24.15051182000002,-23.743095099925995,1.0,vasprun:ionic,model=DPA3;dft-match:P_P130N8_4da67312-af60-4b2d-adf5-10c7bd23799c_unrelaxed/vasprun.xml;dump-match:BP_spin_500_P130N8_4da67312-af60-4b2d-adf5-10c7bd23799c_unrelaxed,
DPA3,P_P130N9_743bf692-dea8-42fa-913e-e86dff2ca8a2,P,P130N9,False,139,139,-733.189995931423,-757.998377637899,-5.274748172168511,-5.453225738402151,-24.808381706475984,-0.17847756623364017,-733.14011166,-757.22999841,-5.274389292517986,-5.44769783028777,-24.089886750000005,-0.17330853776978422,-24.089886750000005,-24.808381706475984,1.0,vasprun:ionic,model=DPA3;dft-match:P_P130N9_743bf692-dea8-42fa-913e-e86dff2ca8a2_unrelaxed/vasprun.xml;dump-match:BP_spin_500_P130N9_743bf692-dea8-42fa-913e-e86dff2ca8a2_unrelaxed,
DPA3,P_P134N2_7d818b15-98d7-46a0-8001-037c616cfa2c,P,P134N2,False,136,136,-710.940867223695,-724.777275302366,-5.227506376644817,-5.329244671340926,-13.836408078670956,-0.10173829469610997,-711.00341092,-724.62419005,-5.227966256764706,-5.328119044485295,-13.620779130000074,-0.10015278772058878,-13.620779130000074,-13.836408078670956,1.0,vasprun:ionic,model=DPA3;dft-match:P_P134N2_7d818b15-98d7-46a0-8001-037c616cfa2c_unrelaxed/vasprun.xml;dump-match:BP_spin_500_P134N2_7d818b15-98d7-46a0-8001-037c616cfa2c_unrelaxed,
DPA3,P_P134N3_0bbe3973-1534-431a-8cd6-f17dd0ee3b7a,P,P134N3,False,137,137,-719.807369893388,-733.840879535274,-5.254068393382394,-5.356502770330467,-14.033509641885985,-0.10243437694807288,-719.60078242,-735.94511828,-5.252560455620438,-5.371862177226277,-16.34433586,-0.11930172160583942,-16.34433586,-14.033509641885985,1.0,vasprun:ionic,model=DPA3;dft-match:P_P134N3_0bbe3973-1534-431a-8cd6-f17dd0ee3b7a_unrelaxed/vasprun.xml;dump-match:BP_spin_500_P134N3_0bbe3973-1534-431a-8cd6-f17dd0ee3b7a_unrelaxed,
DPA3,P_P134N3_bdc16de1-0e53-494f-a5e7-3c84bce2ac04,P,P134N3,False,137,137,-718.579550450639,-733.275155385928,-5.245106207668898,-5.352373396977576,-14.695604935288998,-0.10726718930867882,-718.79951257,-732.81584272,-5.246711770583942,-5.349020749781022,-14.01633014999993,-0.10230897919707979,-14.01633014999993,-14.695604935288998,1.0,vasprun:ionic,model=DPA3;dft-match:P_P134N3_bdc16de1-0e53-494f-a5e7-3c84bce2ac04_unrelaxed/vasprun.xml;dump-match:BP_spin_500_P134N3_bdc16de1-0e53-494f-a5e7-3c84bce2ac04_unrelaxed,
DPA3,P_P134N3_dda7d839-bc4d-48cb-a66f-1ba5db069526,P,P134N3,False,137,137,-718.28866047223,-733.270136689739,-5.242982923154964,-5.352336764158679,-14.981476217508998,-0.10935384100371531,-718.44916649,-732.86983133,-5.244154499927007,-5.349414827226277,-14.420664839999972,-0.10526032729926987,-14.420664839999972,-14.981476217508998,1.0,vasprun:ionic,model=DPA3;dft-match:P_P134N3_dda7d839-bc4d-48cb-a66f-1ba5db069526_unrelaxed/vasprun.xml;dump-match:BP_spin_500_P134N3_dda7d839-bc4d-48cb-a66f-1ba5db069526_unrelaxed,
